"group","counterbalance","block_type","block","delay_condition","trial","chosen","unchosen","offer_left_image","offer_right_image","exp_value_chosen","exp_value_unchosen","choice_location","choice_key","exp_value1","exp_value2","exp_value3","exp_value4","reward","coins_per_block","coins_per_task","ITI_duration","rt_deadline","choice_feedback_duration","outcome_duration","subject","rt"
"ADHD","start_with_long_delay"," practice",1,1,1,2,4,4,2,0.45,0.65," right",2,0.35,0.45,0.55,0.65,1,1,1,1,6,0.5,1,"0DKx3BNQ",2.03049620008096
"ADHD","start_with_long_delay"," practice",1,1,2,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,1,2,2,1,6,0.5,1,"0DKx3BNQ",1.47381740016863
"ADHD","start_with_long_delay"," practice",1,1,3,4,2,2,4,0.65,0.45," right",2,0.35,0.45,0.55,0.65,1,3,3,1,6,0.5,1,"0DKx3BNQ",1.14275350002572
"ADHD","start_with_long_delay"," practice",1,1,4,3,2,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,1,4,4,1,6,0.5,1,"0DKx3BNQ",1.44236599979922
"ADHD","start_with_long_delay"," practice",1,1,5,2,1,1,2,0.45,0.35," right",2,0.35,0.45,0.55,0.65,0,4,4,1,6,0.5,1,"0DKx3BNQ",1.94575740001164
"ADHD","start_with_long_delay"," test",1,7,1,1,2,1,2,0.35,0.45," left",1,0.35,0.45,0.55,0.65,0,0,4,1,6,0.5,1,"0DKx3BNQ",0.139738099882379
"ADHD","start_with_long_delay"," test",1,7,2,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,0,4,1,6,0.5,1,"0DKx3BNQ",1.63120379997417
"ADHD","start_with_long_delay"," test",1,7,3,3,4,3,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,1,1,5,1,6,0.5,1,"0DKx3BNQ",1.78134479979053
"ADHD","start_with_long_delay"," test",1,7,4,1,4,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,0,1,5,1,6,0.5,1,"0DKx3BNQ",1.87981699989177
"ADHD","start_with_long_delay"," test",1,7,5,1,4,1,4,0.35,0.65," left",1,0.35,0.45,0.55,0.65,0,1,5,1,6,0.5,1,"0DKx3BNQ",1.15227710013278
"ADHD","start_with_long_delay"," test",1,7,6,4,1,4,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,1,2,6,1,6,0.5,1,"0DKx3BNQ",1.42336850007996
"ADHD","start_with_long_delay"," test",1,7,7,3,1,3,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,1,3,7,1,6,0.5,1,"0DKx3BNQ",1.29564599995501
"ADHD","start_with_long_delay"," test",1,7,8,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,4,8,1,6,0.5,1,"0DKx3BNQ",1.040378900012
"ADHD","start_with_long_delay"," test",1,7,9,3,4,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,1,5,9,1,6,0.5,1,"0DKx3BNQ",0.903806300135329
"ADHD","start_with_long_delay"," test",1,7,10,2,4,2,4,0.45,0.65," left",1,0.35,0.45,0.55,0.65,0,5,9,1,6,0.5,1,"0DKx3BNQ",0.87246589991264
