"","group","counterbalance","block_type","block","delay_condition","trial","chosen","unchosen","offer_right_image","exp_value_chosen","exp_value_unchosen","choice_location","choice_key","exp_value1","exp_value2","exp_value3","exp_value4","reward","coins_per_block","coins_per_task","ITI_duration","rt_deadline","choice_feedback_duration","outcome_duration","subject","rt","stay","reward_oneback","reward_twoback","reward_threeback","reoffer_chosen_oneback","stay_key","delta_exp_value","acc","offer1","offer2","choice","selected_offer","offer_left_image","cum_reward_ch1","cum_reward_ch2","cum_reward_ch3","cum_reward_ch4","cum_visit_ch1","cum_visit_ch2","cum_visit_ch3","cum_visit_ch4","mean_reward_ch1","mean_reward_ch2","mean_reward_ch3","mean_reward_ch4","cum_reward_chosen","cum_reward_unchosen","cum_visit_chosen","cum_visit_unchosen","mean_reward_chosen","mean_reward_unchosen","subj_acc","abort","first_trial_in_block"
"1","ADHD","start_with_long_delay"," test",1,"long",2,1,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,"unrewarded",0,4,1,6,0.5,1,"0DKx3BNQ",1.63120379997417,1,"unrewarded",NA,NA,TRUE,0,0.3,0,4,1,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,FALSE,1
"2","ADHD","start_with_long_delay"," test",1,"long",3,3,4,4,0.55,0.65," left",1,0.35,0.45,0.55,0.65,"rewarded",1,5,1,6,0.5,1,"0DKx3BNQ",1.78134479979053,0,"unrewarded","unrewarded",NA,FALSE,0,0.1,0,3,4,3,0,3,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,FALSE,0
"3","ADHD","start_with_long_delay"," test",1,"long",4,1,4,1,0.35,0.65," right",2,0.35,0.45,0.55,0.65,"unrewarded",1,5,1,6,0.5,1,"0DKx3BNQ",1.87981699989177,0,"rewarded","unrewarded","unrewarded",FALSE,0,0.3,0,4,1,1,1,4,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,NA,FALSE,0
"4","ADHD","start_with_long_delay"," test",1,"long",5,1,4,4,0.35,0.65," left",1,0.35,0.45,0.55,0.65,"unrewarded",1,5,1,6,0.5,1,"0DKx3BNQ",1.15227710013278,1,"unrewarded","rewarded","unrewarded",TRUE,0,0.3,0,1,4,1,0,1,0,0,1,0,3,0,1,0,0,0,1,0,0,0,3,0,0,0,NA,FALSE,0
"5","ADHD","start_with_long_delay"," test",1,"long",6,4,1,1,0.65,0.35," left",1,0.35,0.45,0.55,0.65,"rewarded",2,6,1,6,0.5,1,"0DKx3BNQ",1.42336850007996,0,"unrewarded","unrewarded","rewarded",TRUE,1,0.3,1,4,1,4,0,4,0,0,1,1,3,0,1,1,0,0,1,1,1,0,1,3,1,0,1,FALSE,0
"6","ADHD","start_with_long_delay"," test",1,"long",7,3,1,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,"rewarded",3,7,1,6,0.5,1,"0DKx3BNQ",1.29564599995501,0,"rewarded","unrewarded","unrewarded",FALSE,1,0.2,1,3,1,3,0,3,0,0,2,1,3,0,2,1,0,0,1,1,2,0,2,3,1,0,1,FALSE,0
"7","ADHD","start_with_long_delay"," test",1,"long",8,3,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,"rewarded",4,8,1,6,0.5,1,"0DKx3BNQ",1.040378900012,1,"rewarded","rewarded","unrewarded",TRUE,0,0.1,0,4,3,3,1,4,0,0,3,1,3,0,3,1,0,0,1,1,3,1,3,1,1,1,0,FALSE,0
"8","ADHD","start_with_long_delay"," test",1,"long",9,3,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,"rewarded",5,9,1,6,0.5,1,"0DKx3BNQ",0.903806300135329,1,"rewarded","rewarded","rewarded",TRUE,1,0.1,0,4,3,3,1,4,0,0,4,1,3,0,4,1,0,0,1,1,4,1,4,1,1,1,0,FALSE,0
"9","ADHD","start_with_long_delay"," test",1,"long",10,2,4,4,0.45,0.65," left",1,0.35,0.45,0.55,0.65,"unrewarded",5,9,1,6,0.5,1,"0DKx3BNQ",0.87246589991264,0,"rewarded","rewarded","rewarded",FALSE,0,0.2,0,2,4,2,0,2,0,0,4,1,3,1,4,1,0,0,1,1,0,1,1,1,0,1,0,FALSE,0
"10","ADHD","start_with_long_delay"," test",1,"long",11,2,3,3,0.45,0.55," left",1,0.35,0.45,0.55,0.65,"unrewarded",5,9,1,6,0.5,1,"0DKx3BNQ",1.75470370007679,1,"unrewarded","rewarded","rewarded",TRUE,1,0.1,0,2,3,2,0,2,0,0,4,1,3,2,4,1,0,0,1,1,0,4,2,4,0,1,0,FALSE,0
"11","ADHD","start_with_long_delay"," test",1,"long",12,3,1,1,0.55,0.35," left",1,0.35,0.45,0.55,0.65,"unrewarded",5,9,1,6,0.5,1,"0DKx3BNQ",1.30906100012362,0,"unrewarded","unrewarded","rewarded",FALSE,1,0.2,1,3,1,3,0,3,0,0,4,1,3,2,5,1,0,0,0.8,1,4,0,5,3,0.8,0,1,FALSE,0
"12","ADHD","start_with_long_delay"," test",1,"long",13,3,2,3,0.55,0.45," right",2,0.35,0.45,0.55,0.65,"rewarded",6,10,1,6,0.5,1,"0DKx3BNQ",0.5203249999322,1,"unrewarded","unrewarded","unrewarded",TRUE,0,0.1,1,2,3,3,1,2,0,0,5,1,3,2,6,1,0,0,0.833333333333333,1,5,0,6,2,0.833333333333333,0,1,FALSE,0
"13","ADHD","start_with_long_delay"," test",1,"long",14,3,4,3,0.55,0.65," right",2,0.35,0.45,0.55,0.65,"unrewarded",6,10,1,6,0.5,1,"0DKx3BNQ",0.421761199831963,1,"rewarded","unrewarded","unrewarded",TRUE,1,0.1,0,4,3,3,1,4,0,0,5,1,3,2,7,1,0,0,0.714285714285714,1,5,1,7,1,0.714285714285714,1,0,FALSE,0
